text,category,type
ăn sáng 30k,Ăn uống,expense
ăn sáng bánh mì 15k,Ăn uống,expense
ăn sáng cf 25k,Ăn uống,expense
cf sáng 30k,Ăn uống,expense
uống cf 40k,Ăn uống,expense
uống cf với bạn 50k,Ăn uống,expense
cà phê sáng 35k,Ăn uống,expense
uống trà sữa 50k,Ăn uống,expense
trà sữa size l 65k,Ăn uống,expense
trà sữa trân châu 60k,Ăn uống,expense
ăn trưa cơm văn phòng 50k,Ăn uống,expense
ăn trưa phở 45k,Ăn uống,expense
ăn trưa bún bò 40k,Ăn uống,expense
ăn trưa bánh mì 30k,Ăn uống,expense
ăn trưa lẩu 200k,Ăn uống,expense
ăn tối nhà hàng 300k,Ăn uống,expense
ăn tối lẩu 250k,Ăn uống,expense
ăn tối nướng 150k,Ăn uống,expense
ăn vặt bánh tráng 20k,Ăn uống,expense
ăn vặt khoai chiên 15k,Ăn uống,expense
ăn vặt hoa quả 25k,Ăn uống,expense
ăn vặt kem 30k,Ăn uống,expense
ăn đồ ăn nhanh 50k,Ăn uống,expense
ăn đồ ăn vặt 35k,Ăn uống,expense
mua đồ ăn 100k,Ăn uống,expense
mua trái cây 80k,Ăn uống,expense
ăn sáng bún 25k,Ăn uống,expense
ăn sáng phở 35k,Ăn uống,expense
ăn sáng bánh bao 20k,Ăn uống,expense
ăn trưa cơm hộp 40k,Ăn uống,expense
ăn trưa bánh xèo 50k,Ăn uống,expense
ăn trưa cháo 30k,Ăn uống,expense
ăn trưa hủ tiếu 45k,Ăn uống,expense
ăn tối mì xào 60k,Ăn uống,expense
ăn tối pizza 120k,Ăn uống,expense
ăn tối burger 100k,Ăn uống,expense
ăn tối gà rán 150k,Ăn uống,expense
uống sinh tố 35k,Ăn uống,expense
uống nước ép 30k,Ăn uống,expense
uống nước cam 25k,Ăn uống,expense
uống trà 20k,Ăn uống,expense
uống trà nóng 15k,Ăn uống,expense
uống trà đá 10k,Ăn uống,expense
cà phê đá 35k,Ăn uống,expense
cà phê sữa 40k,Ăn uống,expense
uống matcha 50k,Ăn uống,expense
uống latte 60k,Ăn uống,expense
uống capuchino 55k,Ăn uống,expense
ăn buffet 300k,Ăn uống,expense
ăn buffet lẩu 350k,Ăn uống,expense
ăn buffet nướng 400k,Ăn uống,expense
đổ xăng 50k,Di chuyển,expense
đổ xăng xe máy 100k,Di chuyển,expense
đổ xăng 70k,Di chuyển,expense
đổ xăng full 150k,Di chuyển,expense
đi grab 40k,Di chuyển,expense
đi grab bike 35k,Di chuyển,expense
grab về nhà 60k,Di chuyển,expense
grab đi làm 50k,Di chuyển,expense
grab chiều 45k,Di chuyển,expense
đi taxi 120k,Di chuyển,expense
taxi đi làm 100k,Di chuyển,expense
taxi về nhà 90k,Di chuyển,expense
đi xe ôm 30k,Di chuyển,expense
xe ôm về nhà 25k,Di chuyển,expense
xe ôm đi làm 30k,Di chuyển,expense
gửi xe 5k,Di chuyển,expense
gửi xe tháng 100k,Di chuyển,expense
gửi xe 10k,Di chuyển,expense
gửi xe qua đêm 20k,Di chuyển,expense
gửi xe văn phòng 50k,Di chuyển,expense
bảo dưỡng xe 200k,Di chuyển,expense
thay nhớt xe 150k,Di chuyển,expense
rửa xe 30k,Di chuyển,expense
đi xe bus 10k,Di chuyển,expense
đi lại 50k,Di chuyển,expense
đi lại trong ngày 80k,Di chuyển,expense
đi lại cả tuần 300k,Di chuyển,expense
đi lại tháng này 1tr,Di chuyển,expense
đi xe đạp 5k,Di chuyển,expense
thuê xe máy 200k,Di chuyển,expense
thuê xe ô tô 1tr5,Di chuyển,expense
xe đưa đón 100k,Di chuyển,expense
